contestant_id,animal_id,strategy_spec,actual_return_pct,monkey_median_pct,excess_over_monkey_pct,percentile_rank,empirical_p_value,significant_95pct
CONTESTANT_B,meerkat-90,P_22_3,-10.32%,1.07%,-11.39%,0.0%,1.0000,NO
CONTESTANT_B,eagle-5-1,P_5_1,19.71%,0.35%,+19.36%,99.6%,0.0040,YES (p < 0.05)
CONTESTANT_B,eagle-11-2,P_11_2,11.38%,0.84%,+10.54%,99.2%,0.0080,YES (p < 0.05)
CONTESTANT_B,eagle-44-6,P_44_6,10.74%,1.59%,+9.15%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,eagle-66-9,P_66_9,6.85%,1.94%,+4.91%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,eagle-88-12,P_88_12,7.19%,2.60%,+4.59%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,whale-shark,P_123_17,4.83%,3.70%,+1.14%,95.3%,0.0470,YES (p < 0.05)
CONTESTANT_C,robot,P_22_3,6.93%,1.07%,+5.86%,98.4%,0.0160,YES (p < 0.05)
CONTESTANT_C,sloth-1,P_22_3,7.76%,1.07%,+6.69%,99.4%,0.0060,YES (p < 0.05)
CONTESTANT_C,sloth-2,P_22_3,8.09%,1.07%,+7.02%,99.6%,0.0040,YES (p < 0.05)
CONTESTANT_C,sloth-3,P_22_3,5.65%,1.07%,+4.58%,95.5%,0.0450,YES (p < 0.05)
CONTESTANT_C,sloth-4,P_22_3,4.22%,1.07%,+3.15%,87.7%,0.1229,NO
CONTESTANT_C,snail-1,P_22_3,6.38%,1.07%,+5.31%,97.4%,0.0260,YES (p < 0.05)
CONTESTANT_C,snail-2,P_22_3,6.07%,1.07%,+5.00%,96.7%,0.0330,YES (p < 0.05)
CONTESTANT_C,snail-3,P_22_3,5.61%,1.07%,+4.54%,95.5%,0.0450,YES (p < 0.05)
CONTESTANT_C,snail-4,P_22_3,5.60%,1.07%,+4.53%,95.5%,0.0450,YES (p < 0.05)
CONTESTANT_C,rabbit-1,P_22_11,5.23%,0.70%,+4.54%,93.0%,0.0699,NO
CONTESTANT_C,rabbit-2,P_22_22,6.74%,0.03%,+6.71%,98.5%,0.0150,YES (p < 0.05)
CONTESTANT_C,turtle,P_22_1,6.36%,1.21%,+5.15%,97.1%,0.0290,YES (p < 0.05)
CONTESTANT_C,koala,P_22_3,-8.84%,1.07%,-9.91%,0.0%,1.0000,NO
CONTESTANT_C,meerkat-10,P_22_3,3.52%,1.07%,+2.45%,81.0%,0.1898,NO
