,robot,sloth-1,sloth-2,sloth-3,sloth-4,rabbit-1,rabbit-2,turtle,koala
CONTESTANT_A,-0.0007986619571492826,-0.002062366288699824,-0.0015553049290998322,-0.0015082821007499359,-0.000999194963599792,-0.006275656032045607,-0.013445141477449352,0.00047421381743495417,-0.002343985537448079
CONTESTANT_B,0.0012406987824398197,-0.0011726262314499802,0.00034590039870008304,-0.0006222104361501835,0.0009023786315500715,-0.004924110459134434,-0.012909099962132076,0.0014727267025069768,-0.00215939864683512
CONTESTANT_C,0.0009217778921339903,-0.0004786799062502789,-6.364177250040015e-05,7.559011034974361e-05,0.0004922866562495631,-0.005235259812154003,-0.012596325534895314,0.0021013903702009618,-0.0019409509285984727
CONTESTANT_D,-0.0003477761469991014,-0.0019785740406998986,-0.0011959841018502892,-0.0014261403308999387,-0.000640424840750109,-0.0065945398371682895,-0.012015873764415375,7.947060699420305e-05,-0.003019456499555817
CONTESTANT_E,0.0005149994426156823,-0.0011993462385501141,-0.0009221220372002126,-0.0006443461333002221,-0.0003660133132002974,-0.004072576801712802,-0.010942242629657928,0.0014987933982586465,-0.0023531054295203857
CONTESTANT_F,-0.002076656695384038,-0.0014425080897501052,-0.0010752732510501684,-0.0008917251161999484,-0.0005230261886500776,-0.007347857513409606,-0.014827853768329624,-0.0012876731080881942,-0.002486938817391038
