,robot,sloth-1,sloth-2,sloth-3,sloth-4,snail-1,snail-2,snail-3,snail-4,rabbit-1,rabbit-2,turtle,koala,meerkat-10,meerkat-20,meerkat-30,meerkat-40,meerkat-50,meerkat-60,meerkat-70,meerkat-80,meerkat-90,eagle-5-1,eagle-11-2,eagle-44-6,eagle-66-9,eagle-88-12,whale-shark,taotie
CONTESTANT_A,0.08647815358652267,0.0661126477151921,0.09245389616989019,0.061020918081051034,0.01379994144896135,0.05587211443588225,0.03498569261975204,0.03853850920317736,0.02517678893043307,0.13134541503434338,0.10401559597902854,0.057240025557416585,-0.10482548872403641,0.025776245789283614,0.04653934990203745,0.04270641011049103,0.03460687066863777,0.05199234007983011,0.01098826721906776,-0.04014427502150919,-0.012308017755555123,-0.01579453220558813,0.12674200118994605,0.1468360141697509,0.09590590745904648,0.06410011684518202,0.06796654553528136,0.046132829160669964,0.023227997147228896
CONTESTANT_B,0.12066450447569088,0.12415968432265467,0.09270001177857767,0.051133680804470005,0.005189096936758064,0.09239867664222978,0.0687859479203543,0.08022867148023827,0.06793639401996732,0.10578906750695927,0.08826547751961389,0.10687237870584876,-0.10596715638315024,0.06343846852666712,0.07413801638838868,0.04392549521347777,0.06756693452628304,0.02451395668320977,-0.00849640636835558,0.008255162317656328,-0.029596751735421978,-0.10323904906468717,0.20746260504165615,0.11378236596972258,0.1074478591174024,0.06851984742904293,0.07185135767272,0.04834919494239576,0.023227997147228674
CONTESTANT_C,0.06927738601059752,0.07763596281294749,0.08092551584643548,0.056501470122633846,0.04220685456350326,0.06381664939708798,0.06066814776811125,0.05610459321788608,0.0560064704744887,0.05232424988155793,0.06411044708822411,0.0636196860233631,-0.08838126014693537,0.03523793270534492,0.010267206138552254,0.09055675259334173,0.08485675920523628,0.0761623523701147,0.038515931373291235,-0.06628262438437627,-0.07817003824412261,-0.014732150558627088,0.12139695101534764,0.07076159674755189,0.052723108919564776,0.0462029112703235,0.06030826074037754,0.05571150707267636,0.023227997147228896
CONTESTANT_D,0.07671951512951969,0.07340257668240668,0.06395795623704537,0.03159208329554586,0.0017017799870726602,0.05752134956427857,0.017093670031320896,0.015041502770484882,0.01132077343765503,0.12466925894368663,0.1090019176405077,0.015068516060882109,-0.13518140942703993,0.02691864929844967,0.08153289780662054,0.06388759359425022,0.025282352743376535,-0.0011626413734691088,0.03973527330760174,0.018722807640199957,0.008495025350252705,-0.05617135734896428,0.12788752938887082,0.12962487636299502,0.08309893649282296,0.06194378301327186,0.06880996827303565,0.04328608778102616,0.023227997147228674
CONTESTANT_E,0.019929106047644085,0.02749368432213406,0.052234710819147434,0.019771016242330575,0.015161981883524023,0.0013474177973986645,0.007588146562406584,0.002430788760347191,0.005818414322455778,0.0489737800721497,0.037878493840517447,0.011443216061922667,0.027225203979484025,-0.00866877389514975,0.08562863352961347,-0.013801495859914414,0.053263782894938716,0.006411961827999857,0.027189532849948073,-0.015267601271152342,-0.002544115540096259,-0.025409161158560623,0.07894345563415484,0.04206009620206763,0.029251111087921666,0.03336603745009614,0.02746922290768028,0.03723401348912736,0.023227997147228896
CONTESTANT_F,0.05265906151058419,0.04453148674526597,0.05256242335606731,0.022722926114657094,0.029534463643368536,0.03724737833643421,0.035099125096309525,0.035687572107303556,0.0478548165792807,-0.01939596437594715,0.007288182634447082,0.058638682259103625,0.050966128051580295,0.0032626008123546324,0.061938688697891875,0.02600770353668036,0.007484257373743697,0.02897979600315237,0.0038342246657081525,-0.00838046669859005,0.009553392718900877,-0.04302331833775608,0.08505289417950035,0.043517985376068546,0.012911183331903775,0.014905064993348427,0.033230797465508166,0.032884770779360695,0.023227997147228674
