,robot,sloth-1,sloth-2,sloth-3,sloth-4,rabbit-1,rabbit-2,turtle,koala
CONTESTANT_A,-0.003661649000000211,-0.003377099000000161,-0.002827481000000187,-0.0027548960000001177,-0.0027664330000001236,-0.0072381489999999715,-0.010271062000000164,-0.0039877360000000195,-0.0031232730000001485
CONTESTANT_B,-0.0021009849999999997,-0.002477023000000078,-0.0020556889999999717,-0.0004340400000000244,0.0003386719999998178,-0.008607565000000261,-0.011843119000000235,0.0003078530000000246,-0.0021963060000000922
CONTESTANT_C,-0.0027492639999996404,-0.0023713089999998216,-0.002975136999999739,-0.001876317999999877,-0.0017201719999997422,-0.007732785000000186,-0.011502050000000263,-0.0028184719999996277,-0.004243456000000312
CONTESTANT_D,-0.0013987420000001194,-0.000615265000000198,0.0002140689999998724,0.0004104689999999689,0.0005387129999998574,-0.006614620999999876,-0.010455135000000504,-0.0010303010000000112,-0.0012968919999998274
CONTESTANT_E,-0.0014163560000002295,-0.0005570380000000652,-0.00108730800000012,5.6046000000087304e-05,0.00037430399999993647,-0.007680399000000171,-0.010892145000000353,0.0008588499999999666,-0.0033430380000002424
CONTESTANT_F,-0.0010297570000000755,-0.0007474100000001149,0.0006251669999999265,0.0020305049999997937,0.001112129999999878,-0.008030910999999752,-0.011443585000000311,-0.00037574500000026045,-0.002399405999999993
