,robot,sloth-1,sloth-2,sloth-3,sloth-4,snail-1,snail-2,snail-3,snail-4,rabbit-1,rabbit-2,turtle,koala
CONTESTANT_A,0.08647815358652267,0.0661126477151921,0.09245389616989019,0.061020918081051034,0.01379994144896135,0.05587211443588225,0.03498569261975204,0.03853850920317736,0.02517678893043307,0.13134541503434338,0.10401559597902854,0.057240025557416585,-0.10482548872403641
CONTESTANT_B,0.12066450447569088,0.12415968432265467,0.09270001177857767,0.051133680804470005,0.005189096936758064,0.09239867664222978,0.0687859479203543,0.08022867148023827,0.06793639401996732,0.10578906750695927,0.08826547751961389,0.10687237870584876,-0.10223329190355068
CONTESTANT_C,0.06927738601059752,0.07763596281294749,0.08092551584643548,0.056501470122633846,0.04220685456350326,0.06381664939708798,0.06066814776811125,0.05610459321788608,0.0560064704744887,0.05232424988155793,0.06411044708822411,0.0636196860233631,-0.08838126014693537
CONTESTANT_D,0.07671951512951969,0.07340257668240668,0.06395795623704537,0.03159208329554586,0.0017017799870726602,0.05752134956427857,0.017093670031320896,0.015041502770484882,0.01132077343765503,0.12466925894368663,0.1090019176405077,0.015068516060882109,-0.13518140942703993
CONTESTANT_E,0.019929106047644085,0.02749368432213406,0.052234710819147434,0.019771016242330575,0.015161981883524023,0.0013474177973986645,0.007588146562406584,0.002430788760347191,0.005818414322455778,0.0489737800721497,0.037878493840517447,0.011443216061922667,0.027225203979484025
CONTESTANT_F,0.05265906151058419,0.04453148674526597,0.05256242335606731,0.022722926114657094,0.029534463643368536,0.03724737833643421,0.035099125096309525,0.035687572107303556,0.0478548165792807,-0.01939596437594715,0.007288182634447082,0.058638682259103625,0.050966128051580295
