contestant_id,animal_id,total_return_pct,max_drawdown_pct,final_nav,target_holdings_mean,actual_holdings_mean,unaffordable_buy_count,unaffordable_buy_ratio,mean_cash_ratio,max_cash_ratio,final_cash_ratio
CONTESTANT_B,eagle-5-1,19.71%,7.13%,1.1971,5.0,5.0,0,0.00%,0.68%,1.64%,1.61%
CONTESTANT_B,eagle-11-2,11.38%,9.14%,1.1138,11.0,11.0,0,0.00%,1.36%,5.59%,0.48%
CONTESTANT_B,eagle-44-6,10.74%,3.33%,1.1074,44.0,44.0,0,0.00%,2.54%,8.13%,1.04%
CONTESTANT_B,eagle-66-9,6.85%,2.83%,1.0685,66.0,66.0,0,0.00%,3.42%,12.38%,2.02%
CONTESTANT_B,eagle-88-12,7.19%,2.08%,1.0719,88.0,88.0,0,0.00%,3.55%,12.97%,3.05%
CONTESTANT_B,whale-shark,4.83%,2.12%,1.0483,123.0,123.0,0,0.00%,4.58%,16.99%,3.45%
CONTESTANT_C,robot,6.93%,4.66%,1.0693,22.0,22.0,0,0.00%,1.98%,7.17%,0.99%
CONTESTANT_C,sloth-1,7.76%,3.99%,1.0776,22.0,19.25,0,0.00%,14.42%,100.00%,1.31%
CONTESTANT_C,sloth-2,8.09%,3.53%,1.0809,22.0,16.5,0,0.00%,26.54%,100.00%,0.63%
CONTESTANT_C,sloth-3,5.65%,3.05%,1.0565,22.0,13.75,0,0.00%,39.33%,100.00%,1.59%
CONTESTANT_C,sloth-4,4.22%,3.71%,1.0422,22.0,11.0,0,0.00%,51.43%,100.00%,0.60%
CONTESTANT_C,snail-1,6.38%,4.12%,1.0638,22.0,22.0,0,0.00%,2.61%,7.22%,1.24%
CONTESTANT_C,snail-2,6.07%,4.12%,1.0607,22.0,22.0,0,0.00%,3.22%,7.22%,0.58%
CONTESTANT_C,snail-3,5.61%,4.12%,1.0561,22.0,22.0,0,0.00%,3.82%,7.22%,1.68%
CONTESTANT_C,snail-4,5.60%,4.12%,1.0560,22.0,22.0,0,0.00%,3.97%,7.22%,0.45%
CONTESTANT_C,rabbit-1,5.23%,3.46%,1.0523,22.0,22.0,0,0.00%,4.19%,7.17%,6.18%
CONTESTANT_C,rabbit-2,6.74%,3.48%,1.0674,22.0,22.0,0,0.00%,5.67%,7.17%,6.58%
CONTESTANT_C,turtle,6.36%,4.71%,1.0636,22.0,22.0,0,0.00%,1.24%,7.17%,0.19%
CONTESTANT_C,koala,-8.84%,11.47%,0.9116,22.0,22.0,0,0.00%,3.28%,8.12%,1.20%
CONTESTANT_C,meerkat-10,3.52%,4.03%,1.0352,22.0,22.0,0,0.00%,1.36%,6.11%,0.49%
CONTESTANT_C,meerkat-20,1.03%,4.63%,1.0103,22.0,22.0,0,0.00%,1.84%,11.00%,0.58%
CONTESTANT_C,meerkat-30,9.06%,2.14%,1.0906,22.0,22.0,0,0.00%,1.28%,4.94%,0.53%
CONTESTANT_C,meerkat-40,8.17%,3.49%,1.0817,22.0,22.0,0,0.00%,2.38%,9.71%,1.43%
CONTESTANT_C,meerkat-50,7.62%,2.31%,1.0762,22.0,22.0,0,0.00%,1.47%,4.26%,2.15%
CONTESTANT_C,meerkat-60,5.58%,3.46%,1.0558,22.0,22.0,0,0.00%,1.59%,8.32%,0.37%
CONTESTANT_C,meerkat-70,-6.63%,8.46%,0.9337,22.0,22.0,0,0.00%,1.80%,6.42%,1.76%
CONTESTANT_C,meerkat-80,-7.33%,9.37%,0.9267,22.0,22.0,0,0.00%,1.93%,7.77%,1.25%
CONTESTANT_C,meerkat-90,-1.47%,7.58%,0.9853,22.0,22.0,0,0.00%,1.47%,6.06%,0.82%
CONTESTANT_C,eagle-5-1,12.14%,5.76%,1.1214,5.0,5.0,0,0.00%,1.45%,7.15%,0.83%
CONTESTANT_C,eagle-11-2,7.08%,5.58%,1.0708,11.0,11.0,0,0.00%,1.87%,10.14%,1.75%
CONTESTANT_C,eagle-44-6,5.27%,3.57%,1.0527,44.0,44.0,0,0.00%,2.74%,10.12%,1.67%
CONTESTANT_C,eagle-66-9,4.62%,3.03%,1.0462,66.0,66.0,0,0.00%,3.19%,13.26%,1.47%
CONTESTANT_C,eagle-88-12,6.03%,2.51%,1.0603,88.0,88.0,0,0.00%,3.98%,13.13%,2.07%
CONTESTANT_C,whale-shark,5.57%,2.39%,1.0557,123.0,123.0,0,0.00%,4.60%,17.52%,2.40%
CONTESTANT_D,robot,7.67%,5.54%,1.0767,22.0,22.0,0,0.00%,2.06%,8.70%,0.79%
CONTESTANT_D,sloth-1,7.34%,3.42%,1.0734,22.0,19.25,0,0.00%,14.58%,100.00%,0.16%
CONTESTANT_D,sloth-2,6.40%,4.55%,1.0640,22.0,16.5,0,0.00%,26.77%,100.00%,1.53%
CONTESTANT_D,sloth-3,3.16%,4.99%,1.0316,22.0,13.75,0,0.00%,39.18%,100.00%,0.57%
CONTESTANT_D,sloth-4,0.17%,4.36%,1.0017,22.0,11.0,0,0.00%,51.83%,100.00%,1.29%
CONTESTANT_D,snail-1,5.75%,4.92%,1.0575,22.0,22.0,0,0.00%,2.89%,8.93%,0.31%
CONTESTANT_D,snail-2,1.71%,4.88%,1.0171,22.0,22.0,0,0.00%,4.03%,8.93%,1.13%
CONTESTANT_D,snail-3,1.50%,4.99%,1.0150,22.0,22.0,0,0.00%,4.86%,8.93%,1.23%
CONTESTANT_D,snail-4,1.13%,4.88%,1.0113,22.0,22.0,0,0.00%,6.02%,8.93%,1.30%
CONTESTANT_D,rabbit-1,12.47%,4.59%,1.1247,22.0,22.0,0,0.00%,4.06%,8.70%,3.18%
CONTESTANT_D,rabbit-2,10.90%,5.23%,1.1090,22.0,22.0,0,0.00%,5.34%,12.03%,3.99%
CONTESTANT_D,turtle,1.51%,4.89%,1.0151,22.0,22.0,0,0.00%,1.49%,8.70%,0.38%
CONTESTANT_D,koala,-13.52%,15.02%,0.8648,22.0,22.0,0,0.00%,2.97%,9.97%,1.27%
CONTESTANT_D,meerkat-10,2.69%,4.86%,1.0269,22.0,22.0,0,0.00%,1.55%,6.79%,2.97%
CONTESTANT_D,meerkat-20,8.15%,2.93%,1.0815,22.0,22.0,0,0.00%,1.43%,7.77%,0.20%
CONTESTANT_D,meerkat-30,6.39%,4.04%,1.0639,22.0,22.0,0,0.00%,1.53%,6.65%,0.85%
CONTESTANT_D,meerkat-40,2.53%,2.43%,1.0253,22.0,22.0,0,0.00%,1.62%,6.18%,0.26%
CONTESTANT_D,meerkat-50,1.25%,4.86%,1.0125,22.0,22.0,0,0.00%,2.29%,9.83%,1.58%
CONTESTANT_D,meerkat-60,3.33%,2.68%,1.0333,22.0,22.0,0,0.00%,1.29%,4.60%,1.50%
CONTESTANT_D,meerkat-70,2.68%,4.08%,1.0268,22.0,22.0,0,0.00%,2.28%,7.48%,0.93%
CONTESTANT_D,meerkat-80,0.85%,3.46%,1.0085,22.0,22.0,0,0.00%,1.60%,9.34%,0.42%
CONTESTANT_D,meerkat-90,-5.24%,8.16%,0.9476,22.0,22.0,0,0.00%,1.70%,4.88%,0.21%
CONTESTANT_D,eagle-5-1,12.79%,3.38%,1.1279,5.0,5.0,0,0.00%,0.66%,1.84%,0.61%
CONTESTANT_D,eagle-11-2,12.96%,2.53%,1.1296,11.0,11.0,0,0.00%,1.15%,3.28%,0.94%
CONTESTANT_D,eagle-44-6,8.31%,2.77%,1.0831,44.0,44.0,0,0.00%,3.33%,13.72%,1.50%
CONTESTANT_D,eagle-66-9,6.19%,2.29%,1.0619,66.0,66.0,0,0.00%,3.49%,11.34%,2.61%
CONTESTANT_D,eagle-88-12,6.88%,2.30%,1.0688,88.0,88.0,0,0.00%,4.08%,12.58%,1.95%
CONTESTANT_D,whale-shark,4.33%,2.49%,1.0433,123.0,123.0,0,0.00%,5.12%,17.24%,2.91%
CONTESTANT_E,robot,1.99%,4.14%,1.0199,22.0,22.0,0,0.00%,1.78%,9.12%,0.63%
CONTESTANT_E,sloth-1,2.75%,3.41%,1.0275,22.0,19.25,0,0.00%,14.04%,100.00%,0.20%
CONTESTANT_E,sloth-2,5.22%,4.47%,1.0522,22.0,16.5,0,0.00%,26.66%,100.00%,1.41%
CONTESTANT_E,sloth-3,1.98%,3.81%,1.0198,22.0,13.75,0,0.00%,38.70%,100.00%,0.37%
CONTESTANT_E,sloth-4,1.52%,3.98%,1.0152,22.0,11.0,0,0.00%,51.13%,100.00%,0.82%
CONTESTANT_E,snail-1,0.13%,4.82%,1.0013,22.0,22.0,0,0.00%,2.80%,9.33%,0.18%
CONTESTANT_E,snail-2,0.76%,4.82%,1.0076,22.0,22.0,0,0.00%,3.82%,9.33%,1.23%
CONTESTANT_E,snail-3,0.24%,4.82%,1.0024,22.0,22.0,0,0.00%,4.81%,9.33%,0.45%
CONTESTANT_E,snail-4,0.58%,4.82%,1.0058,22.0,22.0,0,0.00%,5.89%,9.33%,0.42%
CONTESTANT_E,rabbit-1,4.90%,3.74%,1.0490,22.0,22.0,0,0.00%,3.72%,9.12%,2.41%
CONTESTANT_E,rabbit-2,3.79%,3.13%,1.0379,22.0,22.0,0,0.00%,5.67%,9.12%,5.19%
CONTESTANT_E,turtle,1.14%,4.64%,1.0114,22.0,22.0,0,0.00%,1.40%,9.12%,0.12%
CONTESTANT_E,koala,2.72%,4.57%,1.0272,22.0,22.0,0,0.00%,1.54%,5.31%,1.00%
CONTESTANT_E,meerkat-10,-0.87%,7.53%,0.9913,22.0,22.0,0,0.00%,1.82%,8.38%,0.47%
CONTESTANT_E,meerkat-20,8.56%,2.05%,1.0856,22.0,22.0,0,0.00%,1.61%,7.36%,0.58%
CONTESTANT_E,meerkat-30,-1.38%,5.84%,0.9862,22.0,22.0,0,0.00%,1.66%,5.95%,0.85%
CONTESTANT_E,meerkat-40,5.33%,3.96%,1.0533,22.0,22.0,0,0.00%,1.75%,8.80%,0.44%
CONTESTANT_E,meerkat-50,0.64%,4.23%,1.0064,22.0,22.0,0,0.00%,1.75%,9.57%,0.68%
CONTESTANT_E,meerkat-60,2.59%,3.16%,1.0259,22.0,22.0,0,0.00%,1.65%,7.98%,0.27%
CONTESTANT_E,meerkat-70,-1.53%,5.69%,0.9847,22.0,22.0,0,0.00%,1.56%,7.69%,0.69%
CONTESTANT_E,meerkat-80,-0.25%,4.04%,0.9975,22.0,22.0,0,0.00%,1.86%,8.71%,0.22%
CONTESTANT_E,meerkat-90,-3.08%,6.33%,0.9692,22.0,22.0,0,0.00%,1.88%,6.33%,2.73%
CONTESTANT_E,eagle-5-1,7.89%,4.48%,1.0789,5.0,5.0,0,0.00%,0.44%,1.25%,0.25%
CONTESTANT_E,eagle-11-2,4.21%,4.52%,1.0421,11.0,11.0,0,0.00%,0.92%,4.79%,0.28%
CONTESTANT_E,eagle-44-6,2.93%,3.07%,1.0293,44.0,44.0,0,0.00%,2.77%,12.11%,0.95%
CONTESTANT_E,eagle-66-9,3.34%,2.40%,1.0334,66.0,66.0,0,0.00%,3.02%,11.73%,2.61%
CONTESTANT_E,eagle-88-12,2.75%,2.78%,1.0275,88.0,87.88,1,0.58%,3.87%,13.89%,2.09%
CONTESTANT_E,whale-shark,3.72%,2.35%,1.0372,123.0,123.0,0,0.00%,4.94%,17.14%,2.97%
CONTESTANT_F,robot,5.27%,2.61%,1.0527,22.0,22.0,0,0.00%,1.80%,10.38%,0.53%
CONTESTANT_F,sloth-1,4.45%,2.78%,1.0445,22.0,19.25,0,0.00%,14.38%,100.00%,0.82%
CONTESTANT_F,sloth-2,5.26%,2.61%,1.0526,22.0,16.5,0,0.00%,26.63%,100.00%,0.79%
CONTESTANT_F,sloth-3,2.27%,1.93%,1.0227,22.0,13.75,0,0.00%,39.07%,100.00%,0.26%
CONTESTANT_F,sloth-4,2.95%,1.83%,1.0295,22.0,11.0,0,0.00%,51.32%,100.00%,1.03%
CONTESTANT_F,snail-1,3.72%,2.79%,1.0372,22.0,22.0,0,0.00%,3.13%,10.52%,0.22%
CONTESTANT_F,snail-2,3.51%,2.79%,1.0351,22.0,22.0,0,0.00%,4.16%,10.52%,0.94%
CONTESTANT_F,snail-3,3.57%,2.79%,1.0357,22.0,22.0,0,0.00%,5.35%,10.52%,0.47%
CONTESTANT_F,snail-4,4.79%,2.79%,1.0479,22.0,22.0,0,0.00%,6.60%,10.52%,0.91%
CONTESTANT_F,rabbit-1,-1.94%,4.94%,0.9806,22.0,22.0,0,0.00%,4.45%,10.38%,5.25%
CONTESTANT_F,rabbit-2,0.73%,2.69%,1.0073,22.0,22.0,0,0.00%,7.37%,10.38%,7.94%
CONTESTANT_F,turtle,5.86%,2.74%,1.0586,22.0,22.0,0,0.00%,1.52%,10.38%,0.71%
CONTESTANT_F,koala,5.10%,4.44%,1.0510,22.0,22.0,0,0.00%,2.24%,7.41%,1.01%
CONTESTANT_F,meerkat-10,0.33%,3.37%,1.0033,22.0,22.0,0,0.00%,2.16%,9.48%,1.06%
CONTESTANT_F,meerkat-20,6.19%,3.40%,1.0619,22.0,22.0,0,0.00%,1.30%,4.23%,1.82%
CONTESTANT_F,meerkat-30,0.65%,3.45%,1.0065,22.0,22.0,0,0.00%,1.77%,7.39%,0.83%
CONTESTANT_F,meerkat-40,0.75%,4.10%,1.0075,22.0,22.0,0,0.00%,1.78%,7.43%,0.80%
CONTESTANT_F,meerkat-50,2.90%,5.22%,1.0290,22.0,22.0,0,0.00%,1.61%,5.59%,1.19%
CONTESTANT_F,meerkat-60,-0.09%,4.24%,0.9991,22.0,22.0,0,0.00%,2.12%,10.61%,1.44%
CONTESTANT_F,meerkat-70,-0.71%,5.15%,0.9929,22.0,22.0,0,0.00%,1.78%,6.70%,1.67%
CONTESTANT_F,meerkat-80,0.96%,5.12%,1.0096,22.0,22.0,0,0.00%,1.73%,4.92%,0.58%
CONTESTANT_F,meerkat-90,-4.30%,7.48%,0.9570,22.0,22.0,0,0.00%,2.00%,9.08%,2.80%
CONTESTANT_F,eagle-5-1,8.51%,3.64%,1.0851,5.0,5.0,0,0.00%,0.53%,2.62%,0.27%
CONTESTANT_F,eagle-11-2,4.35%,3.05%,1.0435,11.0,11.0,0,0.00%,1.40%,7.57%,0.85%
CONTESTANT_F,eagle-44-6,1.29%,3.70%,1.0129,44.0,44.0,0,0.00%,3.10%,13.30%,2.38%
CONTESTANT_F,eagle-66-9,1.49%,3.94%,1.0149,66.0,66.0,0,0.00%,3.14%,12.45%,2.32%
CONTESTANT_F,eagle-88-12,3.32%,2.79%,1.0332,88.0,88.0,0,0.00%,3.91%,14.43%,2.34%
CONTESTANT_F,whale-shark,3.29%,2.42%,1.0329,123.0,123.0,0,0.00%,4.61%,17.32%,3.68%
BENCHMARK,taotie,2.32%,1.36%,1.0232,246.0,140.0,848,85.40%,50.67%,59.86%,47.91%
