contestant_id,animal_id,strategy_spec,actual_return_pct,monkey_median_pct,excess_over_monkey_pct,percentile_rank,empirical_p_value,significant_95pct
CONTESTANT_B,meerkat-80,P_22_3,-2.96%,0.89%,-3.85%,7.0%,0.9301,NO
CONTESTANT_B,meerkat-90,P_22_3,-10.32%,0.89%,-11.21%,0.0%,1.0000,NO
CONTESTANT_B,eagle-5-1,P_5_1,19.71%,0.68%,+19.03%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,eagle-11-2,P_11_2,11.38%,0.66%,+10.72%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_B,eagle-44-6,P_44_6,10.74%,1.52%,+9.23%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,eagle-66-9,P_66_9,6.85%,1.97%,+4.88%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,eagle-88-12,P_88_12,7.19%,2.50%,+4.68%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,whale-shark,P_123_17,4.83%,3.72%,+1.12%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_C,robot,P_22_3,6.93%,0.89%,+6.04%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_C,sloth-1,P_22_3,7.76%,0.89%,+6.88%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_C,sloth-2,P_22_3,8.09%,0.89%,+7.21%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_C,sloth-3,P_22_3,5.65%,0.89%,+4.76%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_C,sloth-4,P_22_3,4.22%,0.89%,+3.33%,91.9%,0.0809,NO
CONTESTANT_C,snail-1,P_22_3,6.38%,0.89%,+5.49%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_C,snail-2,P_22_3,6.07%,0.89%,+5.18%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_C,snail-3,P_22_3,5.61%,0.89%,+4.72%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_C,snail-4,P_22_3,5.60%,0.89%,+4.71%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_C,rabbit-1,P_22_11,5.23%,0.75%,+4.48%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_C,rabbit-2,P_22_22,6.74%,0.12%,+6.61%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_C,turtle,P_22_1,6.36%,1.02%,+5.35%,97.9%,0.0210,YES (p < 0.05)
CONTESTANT_C,koala,P_22_3,-8.84%,0.89%,-9.73%,0.0%,1.0000,NO
CONTESTANT_C,meerkat-10,P_22_3,3.52%,0.89%,+2.64%,84.9%,0.1508,NO
CONTESTANT_C,meerkat-20,P_22_3,1.03%,0.89%,+0.14%,50.9%,0.4905,NO
CONTESTANT_C,meerkat-30,P_22_3,9.06%,0.89%,+8.17%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_C,meerkat-40,P_22_3,8.17%,0.89%,+7.28%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_C,meerkat-50,P_22_3,7.62%,0.89%,+6.73%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_C,meerkat-60,P_22_3,5.58%,0.89%,+4.69%,95.9%,0.0410,YES (p < 0.05)
CONTESTANT_C,meerkat-70,P_22_3,-6.63%,0.89%,-7.52%,0.0%,1.0000,NO
CONTESTANT_C,meerkat-80,P_22_3,-7.33%,0.89%,-8.21%,0.0%,1.0000,NO
CONTESTANT_C,meerkat-90,P_22_3,-1.47%,0.89%,-2.36%,20.0%,0.8002,NO
CONTESTANT_C,eagle-5-1,P_5_1,12.14%,0.68%,+11.46%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_C,eagle-11-2,P_11_2,7.08%,0.66%,+6.42%,97.9%,0.0210,YES (p < 0.05)
CONTESTANT_C,eagle-44-6,P_44_6,5.27%,1.52%,+3.75%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_C,eagle-66-9,P_66_9,4.62%,1.97%,+2.65%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_C,eagle-88-12,P_88_12,6.03%,2.50%,+3.53%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_C,whale-shark,P_123_17,5.57%,3.72%,+1.85%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_D,robot,P_22_3,7.67%,0.89%,+6.78%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_D,sloth-1,P_22_3,7.34%,0.89%,+6.45%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_D,sloth-2,P_22_3,6.40%,0.89%,+5.51%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_D,sloth-3,P_22_3,3.16%,0.89%,+2.27%,81.9%,0.1808,NO
CONTESTANT_D,sloth-4,P_22_3,0.17%,0.89%,-0.72%,40.0%,0.6004,NO
CONTESTANT_D,snail-1,P_22_3,5.75%,0.89%,+4.87%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_D,snail-2,P_22_3,1.71%,0.89%,+0.82%,62.9%,0.3706,NO
CONTESTANT_D,snail-3,P_22_3,1.50%,0.89%,+0.62%,59.9%,0.4006,NO
CONTESTANT_D,snail-4,P_22_3,1.13%,0.89%,+0.25%,50.9%,0.4905,NO
CONTESTANT_D,rabbit-1,P_22_11,12.47%,0.75%,+11.71%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_D,rabbit-2,P_22_22,10.90%,0.12%,+10.78%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_D,turtle,P_22_1,1.51%,1.02%,+0.49%,57.9%,0.4206,NO
CONTESTANT_D,koala,P_22_3,-13.52%,0.89%,-14.41%,0.0%,1.0000,NO
CONTESTANT_D,meerkat-10,P_22_3,2.69%,0.89%,+1.80%,74.9%,0.2507,NO
CONTESTANT_D,meerkat-20,P_22_3,8.15%,0.89%,+7.27%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_D,meerkat-30,P_22_3,6.39%,0.89%,+5.50%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_D,meerkat-40,P_22_3,2.53%,0.89%,+1.64%,72.9%,0.2707,NO
CONTESTANT_D,meerkat-50,P_22_3,1.25%,0.89%,+0.37%,53.9%,0.4605,NO
CONTESTANT_D,meerkat-60,P_22_3,3.33%,0.89%,+2.45%,83.9%,0.1608,NO
CONTESTANT_D,meerkat-70,P_22_3,2.68%,0.89%,+1.80%,74.9%,0.2507,NO
CONTESTANT_D,meerkat-80,P_22_3,0.85%,0.89%,-0.04%,50.0%,0.5005,NO
CONTESTANT_D,meerkat-90,P_22_3,-5.24%,0.89%,-6.13%,0.0%,1.0000,NO
CONTESTANT_D,eagle-5-1,P_5_1,12.79%,0.68%,+12.11%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_D,eagle-11-2,P_11_2,12.96%,0.66%,+12.30%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_D,eagle-44-6,P_44_6,8.31%,1.52%,+6.79%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_D,eagle-66-9,P_66_9,6.19%,1.97%,+4.22%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_D,eagle-88-12,P_88_12,6.88%,2.50%,+4.38%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_D,whale-shark,P_123_17,4.33%,3.72%,+0.61%,80.9%,0.1908,NO
CONTESTANT_E,robot,P_22_3,1.99%,0.89%,+1.11%,67.9%,0.3207,NO
CONTESTANT_E,sloth-1,P_22_3,2.75%,0.89%,+1.86%,75.9%,0.2408,NO
CONTESTANT_E,sloth-2,P_22_3,5.22%,0.89%,+4.34%,95.9%,0.0410,YES (p < 0.05)
CONTESTANT_E,sloth-3,P_22_3,1.98%,0.89%,+1.09%,67.9%,0.3207,NO
CONTESTANT_E,sloth-4,P_22_3,1.52%,0.89%,+0.63%,59.9%,0.4006,NO
CONTESTANT_E,snail-1,P_22_3,0.13%,0.89%,-0.75%,39.0%,0.6104,NO
CONTESTANT_E,snail-2,P_22_3,0.76%,0.89%,-0.13%,48.0%,0.5205,NO
CONTESTANT_E,snail-3,P_22_3,0.24%,0.89%,-0.64%,40.0%,0.6004,NO
CONTESTANT_E,snail-4,P_22_3,0.58%,0.89%,-0.31%,44.0%,0.5604,NO
CONTESTANT_E,rabbit-1,P_22_11,4.90%,0.75%,+4.14%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_E,rabbit-2,P_22_22,3.79%,0.12%,+3.66%,87.9%,0.1209,NO
CONTESTANT_E,turtle,P_22_1,1.14%,1.02%,+0.13%,53.9%,0.4605,NO
CONTESTANT_E,koala,P_22_3,2.72%,0.89%,+1.84%,75.9%,0.2408,NO
CONTESTANT_E,meerkat-10,P_22_3,-0.87%,0.89%,-1.75%,27.0%,0.7303,NO
CONTESTANT_E,meerkat-20,P_22_3,8.56%,0.89%,+7.68%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_E,meerkat-30,P_22_3,-1.38%,0.89%,-2.27%,21.0%,0.7902,NO
CONTESTANT_E,meerkat-40,P_22_3,5.33%,0.89%,+4.44%,95.9%,0.0410,YES (p < 0.05)
CONTESTANT_E,meerkat-50,P_22_3,0.64%,0.89%,-0.25%,46.0%,0.5405,NO
CONTESTANT_E,meerkat-60,P_22_3,2.59%,0.89%,+1.71%,72.9%,0.2707,NO
CONTESTANT_E,meerkat-70,P_22_3,-1.53%,0.89%,-2.41%,19.0%,0.8102,NO
CONTESTANT_E,meerkat-80,P_22_3,-0.25%,0.89%,-1.14%,33.0%,0.6703,NO
CONTESTANT_E,meerkat-90,P_22_3,-3.08%,0.89%,-3.97%,6.0%,0.9401,NO
CONTESTANT_E,eagle-5-1,P_5_1,7.89%,0.68%,+7.22%,88.9%,0.1109,NO
CONTESTANT_E,eagle-11-2,P_11_2,4.21%,0.66%,+3.55%,80.9%,0.1908,NO
CONTESTANT_E,eagle-44-6,P_44_6,2.93%,1.52%,+1.41%,75.9%,0.2408,NO
CONTESTANT_E,eagle-66-9,P_66_9,3.34%,1.97%,+1.36%,84.9%,0.1508,NO
CONTESTANT_E,eagle-88-12,P_88_12,2.75%,2.50%,+0.25%,57.9%,0.4206,NO
CONTESTANT_E,whale-shark,P_123_17,3.72%,3.72%,+0.01%,50.9%,0.4905,NO
CONTESTANT_F,robot,P_22_3,5.27%,0.89%,+4.38%,95.9%,0.0410,YES (p < 0.05)
CONTESTANT_F,sloth-1,P_22_3,4.45%,0.89%,+3.57%,91.9%,0.0809,NO
CONTESTANT_F,sloth-2,P_22_3,5.26%,0.89%,+4.37%,95.9%,0.0410,YES (p < 0.05)
CONTESTANT_F,sloth-3,P_22_3,2.27%,0.89%,+1.39%,70.9%,0.2907,NO
CONTESTANT_F,sloth-4,P_22_3,2.95%,0.89%,+2.07%,77.9%,0.2208,NO
CONTESTANT_F,snail-1,P_22_3,3.72%,0.89%,+2.84%,87.9%,0.1209,NO
CONTESTANT_F,snail-2,P_22_3,3.51%,0.89%,+2.62%,84.9%,0.1508,NO
CONTESTANT_F,snail-3,P_22_3,3.57%,0.89%,+2.68%,86.9%,0.1309,NO
CONTESTANT_F,snail-4,P_22_3,4.79%,0.89%,+3.90%,94.9%,0.0509,NO
CONTESTANT_F,rabbit-1,P_22_11,-1.94%,0.75%,-2.69%,18.0%,0.8202,NO
CONTESTANT_F,rabbit-2,P_22_22,0.73%,0.12%,+0.60%,55.9%,0.4406,NO
CONTESTANT_F,turtle,P_22_1,5.86%,1.02%,+4.85%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_F,koala,P_22_3,5.10%,0.89%,+4.21%,95.9%,0.0410,YES (p < 0.05)
CONTESTANT_F,meerkat-10,P_22_3,0.33%,0.89%,-0.56%,41.0%,0.5904,NO
CONTESTANT_F,meerkat-20,P_22_3,6.19%,0.89%,+5.31%,97.9%,0.0210,YES (p < 0.05)
CONTESTANT_F,meerkat-30,P_22_3,0.65%,0.89%,-0.23%,46.0%,0.5405,NO
CONTESTANT_F,meerkat-40,P_22_3,0.75%,0.89%,-0.14%,48.0%,0.5205,NO
CONTESTANT_F,meerkat-50,P_22_3,2.90%,0.89%,+2.01%,77.9%,0.2208,NO
CONTESTANT_F,meerkat-60,P_22_3,-0.09%,0.89%,-0.97%,34.0%,0.6603,NO
CONTESTANT_F,meerkat-70,P_22_3,-0.71%,0.89%,-1.60%,28.0%,0.7203,NO
CONTESTANT_F,meerkat-80,P_22_3,0.96%,0.89%,+0.07%,50.0%,0.5005,NO
CONTESTANT_F,meerkat-90,P_22_3,-4.30%,0.89%,-5.19%,2.0%,0.9800,NO
CONTESTANT_F,eagle-5-1,P_5_1,8.51%,0.68%,+7.83%,89.9%,0.1009,NO
CONTESTANT_F,eagle-11-2,P_11_2,4.35%,0.66%,+3.69%,80.9%,0.1908,NO
CONTESTANT_F,eagle-44-6,P_44_6,1.29%,1.52%,-0.23%,44.0%,0.5604,NO
CONTESTANT_F,eagle-66-9,P_66_9,1.49%,1.97%,-0.48%,33.0%,0.6703,NO
CONTESTANT_F,eagle-88-12,P_88_12,3.32%,2.50%,+0.82%,76.9%,0.2308,NO
CONTESTANT_F,whale-shark,P_123_17,3.29%,3.72%,-0.43%,22.0%,0.7802,NO
BENCHMARK,taotie,P_ALL_0,2.32%,2.32%,-0.00%,3.0%,0.9700,NO
