,robot,sloth-1,sloth-2,sloth-3,sloth-4,rabbit-1,rabbit-2,turtle,koala
CONTESTANT_A,0.0006105969999998795,0.0006105969999998795,0.0006105969999998795,0.0006105969999998795,0.0006105969999998795,0.0006105969999998795,0.0006105969999998795,0.0006105969999998795,-0.001666011999999828
CONTESTANT_B,-0.0017585270000002318,-0.0017585270000002318,-0.0017585270000002318,-0.0017585270000002318,-0.0017585270000002318,-0.0017585270000002318,-0.0017585270000002318,-0.0017585270000002318,-0.0007304729999999537
CONTESTANT_C,0.0003519869999997205,0.0003519869999997205,0.0003519869999997205,0.0003519869999997205,0.0003519869999997205,0.0003519869999997205,0.0003519869999997205,0.0003519869999997205,-0.0018232579999999388
CONTESTANT_D,5.415799999997084e-05,5.415799999997084e-05,5.415799999997084e-05,5.415799999997084e-05,5.415799999997084e-05,5.415799999997084e-05,5.415799999997084e-05,5.415799999997084e-05,-0.0008921280000001586
CONTESTANT_E,-0.00020206599999994523,-0.00020206599999994523,-0.00020206599999994523,-0.00020206599999994523,-0.00020206599999994523,-0.00020206599999994523,-0.00020206599999994523,-0.00020206599999994523,-2.761700000009082e-05
CONTESTANT_F,-0.000770599000000094,-0.000770599000000094,-0.000770599000000094,-0.000770599000000094,-0.000770599000000094,-0.000770599000000094,-0.000770599000000094,-0.000770599000000094,-0.0016154760000002266
