,robot,sloth-1,sloth-2,sloth-3,sloth-4,rabbit-1,rabbit-2,turtle,koala
CONTESTANT_A,0.08647815358652267,0.0661126477151921,0.09245389616989019,0.061020918081051034,0.01379994144896135,0.13134541503434338,0.10401559597902854,0.057240025557416585,-0.10482548872403641
CONTESTANT_B,0.12202239022767847,0.1437567795604744,0.08685039462799748,0.04686416057761522,0.0010931922007229034,0.10763340691212875,0.0895250097273319,0.10599246018848141,-0.10223329190355068
CONTESTANT_C,0.06927738601059752,0.07763596281294749,0.08092551584643548,0.056501470122633846,0.04220685456350326,0.05232424988155793,0.06737913992739863,0.0636196860233631,-0.08838126014693537
CONTESTANT_D,0.07671951512951969,0.07340257668240668,0.06395795623704537,0.03159208329554586,0.0017017799870726602,0.12466925894368663,0.1090019176405077,0.015068516060882109,-0.13518140942703993
CONTESTANT_E,0.019929106047644085,0.02749368432213406,0.052234710819147434,0.019771016242330575,0.015161981883524023,0.0489737800721497,0.037878493840517447,0.011443216061922667,0.027225203979484025
CONTESTANT_F,0.05265906151058419,0.04453148674526597,0.05256242335606731,0.022722926114657094,0.029534463643368536,-0.01939596437594715,0.007288182634447082,0.058638682259103625,0.050966128051580295
