,robot,sloth-1,sloth-2,sloth-3,sloth-4,rabbit-1,rabbit-2,turtle,koala
CONTESTANT_A,6.7600744071416585e-06,-0.002662163901750003,-0.0021105092616998666,-0.0021110137582500688,-0.001557156553400163,-0.005470911548084767,-0.012684349423378483,0.000598466636656747,-0.0003126525097150168
CONTESTANT_B,-0.0024322347858078963,-0.0048382512383498,-0.003458173491499905,-0.004288384443699833,-0.002902797571899929,-0.006372635946362171,-0.012149545841104281,-0.0017905991966671309,0.00014092147510513797
CONTESTANT_C,-0.003512812358162143,-0.005610082657249826,-0.003769772757849843,-0.005060949466550002,-0.003213292497449949,-0.007499765490439625,-0.014471990362736387,-0.0032973632585123758,0.00104537573621033
CONTESTANT_D,-0.0021204172751350114,-0.003613417098550231,-0.0028777083663503733,-0.0030626328732503705,-0.00232398772025022,-0.005197717078529451,-0.011837392747541253,-0.0008915936238969024,-0.001953534575364513
CONTESTANT_E,-0.002483135712512352,-0.0033339089835000557,-0.0031499015439501177,-0.00278110817730004,-0.0025963666511500394,-0.006244276394809067,-0.012998620228926505,-0.0008534470352322687,0.0015473912677499424
CONTESTANT_F,-0.0036677364613779684,-0.005733173253549828,-0.005595500153099842,-0.00518092034115003,-0.005042698646499977,-0.007598339853755909,-0.01107491835233132,-0.0019988635783596553,-0.004380050254560897
